id,open_date,name,location,lat,lon,threat,tags,commodity,measure_skim,measure_shore,measure_bio,measure_disperse,measure_burn,max_ptl_release_gallons,posts,description
10217,2020-12-26,M/V MS. DEBBIE   MM 830 MS River,"Caruthersville, MO 63830, USA",36.177447,-89.614592,Oil,,Diesel and lube oil,1,,,,,2500,0,"On December 26, 2020, the USCG Sector Lower MS contacted the NOAA SSC regarding a grounded, partially sunken tug in the vicinity of MM 830 of MS River near Caruthersville, MO. The vessel was reported to have 2,500 diesel and several hundred gals of lube oil on board.  The NOAA SSC requested to provide RAR information and remain on standby for other support as needed."
10216,2020-12-26,USCG Cutter Spar,"Kodiak, AK",57729,-152515,Oil,,Hydraulic Oil,1,,,,,650,0,"On December 26, 2020, the USCG MSD Kodiak contacted the NOAA Emergency Response Division regarding a hydraulic fluid spill from the Cutter Spar at the USCG dock in Womens Bay, Kodiak, AK.  The release occurred at 11 AM local time.  USCG requested a trajectory for an estimated 600 to 650 gallons.  Lat Long:  57.729, -152.515."
10211,2020-12-16,Trading Bay Pipeline Leak,"Trading Bay, Cook Inlet, Alaska",60.81667,-151.78778,Oil,,crude,,,,,,7890,0,"On 16-Dec-2020, MSD Homer reported a pipeline leak at the Trading Bay oil production facility. The leak is underground within a pipeline corridor and is estimated to be approximately 190 barrels of 80% crude oil mix. The position of the leak is about 570 feet from the high tide line. There is no visible oil at this time."
10210,2020-12-11,Lucky Angel- 75ft fishing vessel,"offshore Horn Island, Gulf of Mexico",30.0183334,-88.661914,Oil,,diesel,,,,,,10000,0,"On December 12, 2020, the USCG Sector Mobile contacted the NOAA SSC regarding an incident involving a 75ft steel hull fishing vessel (Lucky Angel) with approximately 10,000 gallons of diesel that caught fire and sank approximately 10 miles south of Horn Island (off MS Coast, Gulf of Mexico).  USCG is requesting trajectory and fate analysis."
10209,2020-12-09,35’ vessel submerged/grounded,"Long Beach, CA",33.741266063906,-118.138867391906,Oil,,Gasoline,,,,,,50,0,"On December 10, 2020, the USCG Sector LA/Long Beach contacted their NOAA SSC regarding a 35’ vessel partially submerged & grounded in the vicinity of Island Chaffee (a man-made, industrial island near Long Beach, CA).  The maximum potential for the vessel is 200 gallons, but the owner reports only 50 gallons of gasoline on board at the time of the incident (2230 hrs, 09-DEC-2020).  Today, only light sheening has been observed near the vessel, but Sector wanted to know whether the vessel could impact nearby sensitive sites in the event of a catastrophic release."
10204,2020-11-30,Selawik Diesel Discharge,"Selawik, AK",66.60388,-160.01205,Oil,,diesil,,,,,,1013,0,"On 26-Nov-2020, there was a discharge of an estimated 4500 gallons of diesel, in the village of Selawik, during a transfer between the tank farm and a day tank. The actual amount discharged is unknown. The discharged product impacted the adjacent frozen ground and reports from the field confirmed product was found under approximately two feet of snow but on top three inches of ice. Sector Anchorage IMD is requesting a Resources at Risk and an Oil Fate Analysis."
10202,2020-11-25,"F/V Miss Lena, Sunk Offshore Texas",Gulf of Mexico,27.0299,-93.7709,Oil,,Diesel,,,,,,7500,1,"On November 25, 2020, MSU Texas City requested a fate analysis for the 7,500 gallons of diesel fuel aboard F/V Miss Lena, which sank the evening of November 24.  Status of fuel tanks unknown.  Vessel is in deep water (~1100 - 1200m) and will be left in place.  All crew safely removed from vessel.  Phone support provided."
10201,2020-11-20,"Vessel Fire, Mystic, CT","3 Williams Ave, Mystic, CT 06355, USA",41.3501392155955,-71.959376335144,Oil,,Diesel Fuel,1,1,,,,300,0,"On November, 2020, USCG Sector Long Island Sound notified the NOAA SSC about a 30 foot long vessel that caught fire and sank at the municipal dock in Mystic, CT. There is an active discharge of diesel fuel. USCG requested information on potential resources at risk."
10200,2020-11-16,"Sunken Vessel City Island Marina, Bronx, New York","703 Minnieford Ave, The Bronx, NY 10464, USA",40.86,-73.79,Oil,,Diesel fuel,,,,,,100,0,"On November 16, 2020, the USCG Sector New York notified the NOAA SSC about a 30' pleasure craft that sank at the dock this morning. USCG reports that a noticeable sheen is coming from the vessel. NPFC opened to begin clean-up. An unknown amount of fuel is onboard. The cause is being investigated."
10198,2020-11-10,F/V Jimmy and Charlie Jr.,"McIntosh County, GA, USA",31.32166667,-81255,Oil,,Diesel,,,,,,20000,0,"On November 10, 2020, the USCG notified the NOAA SSC that an 88-foot steel hull fishing vessel is grounded near the entrance to the Altamaha River on a sand bar. The vessel has a capacity of 33000 gallons and is thought to have 15000 gallons of diesel fuel onboard. No pollution reported at this time. Salvage plans are being developed and anticipated to begin tomorrow morning."
