id,open_date,name,location,latitude,longitude,threat,quantity
10334,2021-08-09,FV St Patrick,"Womens Bay, Kodiak, AK",57.718305,-152.548733,Oil,500
10333,2021-08-08,Semi-truck accident and spill Toppenish Creek,"US-97, Toppenish, WA 98948, USA",46.309348,-120.331727,Other,501
10332,2021-08-07,"Grounded Vessel ""HOBO"" Cape Disappointment State Park","Cape Disappointment, WA, USA",46.28402,-124.05946,Oil,502
10331,2021-08-05,South Timbalier Condensate Spill and Sheen,"New Orleans, LA",28.43638889,-90.2975,Oil,503
10330,2021-08-04,"Overturned Barge ""Capt Leo II"" Charleston Harbor Yacht Club","527 Wampler Dr, Charleston, SC 29412, USA",32.75494,-79.910465,Oil,504
10329,2021-08-03,P/C JI-ME II ashore,"Inverness, CA 94937, USA",38.20555556,-122.97216667,Oil,505
10325,2021-07-22,"Chicory Plant, Port Huron, MI","3010 Waldheim Dr, Port Huron, MI 48060, USA",43.013046,-82.463087,Oil,506
10326,2021-07-22,FV Tyrant,"Egegik, AK",57.99906,-157.61872,Oil,507
10327,2021-07-22,Mesa Gulf Cement Barge Release in Bayou Hermitage,"LA 70083, USA",29.55463889,-89.90294444,Oil,508
10328,2021-07-22,Shell Refinery Mystery Sheen,"8505 S Texas Rd, Anacortes, WA 98221, USA",48.4673918792552,-122.562648031342,Other,509
10323,2021-07-19,"Navy Pipeline Release, Pearl Harbor",Hawaii,21.3,-157.94,Oil,510
10324,2021-07-19,Shumigan NOAA/NESDIS MPSR,"Shumigan Islands, Alaska",55.3675,-158.69027778,Oil,511
10322,2021-07-18,FV MOUNT PAVLOF,"Point Alava, Ketchikan, AK",55.196582,-131.162217,Oil,512
10321,2021-07-16,Recreational Vessel on Fire,"Alpena County, MI, USA",45.0335,-83.38133333,Oil,513
10320,2021-07-15,PC GODFATHER sinking,"off Seal Beach, CA",33725,-118.13877778,Oil,514
10318,2021-07-15,PC RELENTLESS sunk,"off Carlsbad, CA",33.11666667,-117.46666667,Oil,515
10317,2021-07-15,"SS CEDARVILLE, historical sunken vessel potentially sheening","Cheboygan County, MI, USA",45.78716667,-84.67066667,Oil,516
10319,2021-07-14,Columbia River Unknown Substance,"Clatskanie, OR",46.168915,-123.109528,Other,517
10316,2021-07-13,"Towed Vessel ""Bligh Island"" sinking near Bellingham, WA","Whatcom County, WA, USA",48.861167,-122.808167,Oil,518
10315,2021-07-11,Bulk Carrier Aground Columbia River,"Columbia River, Longview, WA 98632, USA",46.120558,-122.978691,Oil,519
10313,2021-07-11,"TPIC  In Situ Burn, South Pass 24 BLD-U8",LA  USA,29.08777778,-89.28738889,Oil,520
10314,2021-07-09,Algae observed in Detroit River,"Conner Creek Greenway, Detroit, MI 48215, USA",42.34985,-82.945523,Other,521
10312,2021-07-09,Sheen report,"Off Point Piedras Blancas, CA",35.77166667,-121.46666667,Oil,522
10311,2021-07-06,The Dalles Marina Dock Fire,"101 North Basin Road, The Dalles, OR 97058",45.6011768034787,-121.172114052947,Oil,523
10310,2021-07-05,Vessel Aground Fisher Island Slough,"Longview, WA",46.170694,-123.068417,Other,524
10309,2021-07-03,Port Isabel Barge Collision,"Port Isabel, TX",26.0606,-97.2136,Oil,525
10308,2021-07-02,Crashed Cargo Plane,"Honolulu County, HI, USA",21.27666667,-158.02833333,Oil,526
10307,2021-07-01,Copper Solution to Hedges Creek,"Tualatin, OR",45.36408,-122.78229,Chemical,527
10306,2021-06-30,"Industrial Fire, South Chicago","803 East St, Morris, IL 60450, USA",41.363103,-88.412069,Other,528
10305,2021-06-29,Wapiti Mud Lake Tank Spill,"LA, USA",29.49361111,-90.0,Oil,529
10304,2021-06-28,Mystery Spill- Back Bay Biloxi,"Biloxi, MS, USA",30.41772,-88.866577,Oil,530
10303,2021-06-25,Mystery Sheen Main Pass Blk 69,"Gulf of Mexico, LA, USA",29.24833333,-89.08833333,Oil,531
10302,2021-06-24,Savoonga Fuel Sheen,"Savoonga, AK",63695,-170.47417,Oil,532
10301,2021-06-22,Simmonds Hill Tar Leak,"Utqiagvik, AK",71.2979,-156.77725,Oil,533
10300,2021-06-20,Possible sheen,"off Point Loma, San Diego, CA",32.58527778,-117.41333333,Oil,534
10299,2021-06-17,Baytown Ditch Discharge,"Baytown, TX",29.71163889,-94.97988611,Oil,535
10298,2021-06-16,FV Zorba,"Seward, AK",60.10472,-149.40028,Oil,536
10297,2021-06-15,West Cameron 551 Discharge,"Offshore Texas, Gulf of Mexico",28.30611111,-93.26916667,Oil,537
10296,2021-06-14,"Chemtool Inc. Chemical Plant Fire, Rockton, IL","880 E Main St, Rockton, IL 61072, USA",42.44951,-89.06198,Other,538
10295,2021-06-13,Fieldwood Energy Sheen Main Pass 61,Gulf of Mexico,29.32,-88.99,Oil,539
10294,2021-06-08,"Petroleum and Ethyl Ether Hazmat Fleming Key, FL","Mustin St, Key West, FL 33040, USA",24.5688256797217,-81.7949724197388,Chemical,540
10293,2021-06-04,"USS TRUXTUN Fuel Spill, Offshore Virginia Beach, VA",Atlantic Ocean,36.4919734705937,-73.23486328125,Oil,541
10291,2021-06-02,MV Deliverance,"Offshore, Charleston, South Carolina",32.81022222,-79.62355556,Oil,542
10290,2021-06-02,"MV X-Press Pearl, Indian Ocean",Sri Lanka,7.45507102391809,79.616920799017,Chemical,543
10289,2021-06-02,Newark Motor Oil Release,"Passaic River, Newark, NJ",40.7380552878901,-74.1422009468079,Oil,544
10292,2021-06-01,"Northhampton, VA Oil Incident","Cape Charles, VA",37.2702279361121,-76.0223007202148,Oil,545
10288,2021-05-27,"Sunken Fishing Vessel ""Miss Kim""","Charleston County, SC, USA",32.71277778,-79.86516667,Oil,546
10286,2021-05-25,MV Kite Bay,"Morehead City Inlet, NC",34.7011655875565,-76.6723251377698,Oil,547
10287,2021-05-25,"Steamboat Creek, Norfolk, Virginia",Norfolk VA,36.89,-76.29,Oil,548
10284,2021-05-21,Whale carcass,"Pacifica, CA",37.599272164869,-122.502665519714,Other,549
10285,2021-05-15,Crimson Midstream Piling Release,"Venice, LA 70091, USA",29.20305556,-89.04361111,Oil,550
10281,2021-05-14,M/V NYK DELPHINUS fire,"Offshore Monterey Bay, CA",36.37666667,-122.9,Oil,551
10280,2021-05-14,M/V Toya Adrift,Offshore Texas,27.14833333,-94.57,Oil,552
10279,2021-05-13,"Flooding, Buckland, AK","Buckland, AK",65.99,-161.13666667,Other,553
10278,2021-05-12,"MV BRAZOS oil spill, Maurice River","Millville, NJ",39.3045498701458,-74.9871826171875,Oil,554
10277,2021-05-09,Fin whale carcasses,"San Diego Bay, CA",32.6716043715376,-117.123956680298,Other,555
10275,2021-05-04,Cooper River Mystery Sheen,"North Charleston, SC",32.8795871730663,-79.9675941467285,Oil,556
10276,2021-05-04,Gray whale carcass,"San Francisco Bay, CA",37.8454491557424,-122.394727026506,Other,557
10274,2021-05-03,F/V Nobska,"Roughly 100nm E of Cape Cod, MA",41.4756602002782,-67.357177734375,Other,558
